---------------------------------------------------------------------------------------------------
Date: 12/5/2025 -- 00:25:32 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 7
flow.mgr.flows_notimeout                                     | Total                     | 7
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 12/5/2025 -- 00:26:20 (uptime: 0d, 00h 00m 56s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 11
capture.afpacket.polls                                       | Total                     | 541
capture.afpacket.poll_timeout                                | Total                     | 530
capture.afpacket.poll_data                                   | Total                     | 11
decoder.pkts                                                 | Total                     | 11
decoder.bytes                                                | Total                     | 1794
decoder.ipv4                                                 | Total                     | 2
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 11
decoder.udp                                                  | Total                     | 8
decoder.icmpv6                                               | Total                     | 3
decoder.avg_pkt_size                                         | Total                     | 163
decoder.max_pkt_size                                         | Total                     | 203
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 4
flow.udp                                                     | Total                     | 6
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 1
flow.wrk.flows_evicted                                       | Total                     | 3
app_layer.flow.mdns                                          | Total                     | 6
app_layer.tx.mdns                                            | Total                     | 8
flow.end.state.new                                           | Total                     | 4
flow.mgr.full_hash_pass                                      | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9901
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 10
flow.mgr.flows_notimeout                                     | Total                     | 9
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 622592
tcp.reassembly_memuse                                        | Total                     | 114688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
---------------------------------------------------------------------------------------------------
Date: 12/5/2025 -- 00:26:28 (uptime: 0d, 00h 01m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 11
capture.afpacket.polls                                       | Total                     | 631
capture.afpacket.poll_timeout                                | Total                     | 620
